Area Rank,City,Area Value,Region,"Density Rank, Stadestér",City,Density Value (ihb/ha),Region,"Density Rank, GHSL",City,Density Value (ihb/km^2),Region,Population Rank,City,Population Value,Region
106,Shenyang; Ti,748,eastasia,106,Cazin,908.7538936,eastern_europe_and_russia,106,Tongrim,30132,eastasia,106,Jeddah,4842257,middle_east
107,Mumbai; Than,738,indian_subcontinent,107,Shenyang,905.4939605,eastasia,107,Sahabad,30132,indian_subcontinent,107,Hong Kong; K,4810523,eastasia
108,London,724.661337,europe,108,Aachen,905.3108438,europe,108,Weixin,30097,eastasia,108,Mogadishu,4798453,sub_saharan_africa
109,Kollam,710,indian_subcontinent,109,Aït Melloul,904.9436422,maghreb_egypt,109,Chhibramau,30068,indian_subcontinent,109,Colombo; Kad,4720933,indian_subcontinent
110,Saint Peters,705,northern_america,110,Barauni,904.192022,indian_subcontinent,110,Kangdong,30041,eastasia,110,San Jose; Sa,4718349,northern_america
111,Brisbane; Lo,701,oceania,111,Shizuoka,904.1553533,eastasia,111,Soku,30030,sub_saharan_africa,111,Santo Doming,4593164,latin_america
112,Jeddah,696,middle_east,112,Johannesburg,903.5557761,sub_saharan_africa,112,Hardoi,30015,indian_subcontinent,112,Harbin; Daol,4591886,eastasia
113,Cape Town,695,sub_saharan_africa,113,Gorna Orjach,903.1969907,eastern_europe_and_russia,113,Aleta Wendo,29972,sub_saharan_africa,113,Casablanca; ,4577677,maghreb_egypt
114,Xi'an; Yanta,691,eastasia,114,Kitakyûshû,902.6107292,eastasia,114,Hargele,29946,sub_saharan_africa,114,Dubai; Sharj,4565478,middle_east
115,Baghdad,688,middle_east,115,Leuven,901.8113507,europe,115,Bolo,29691,sub_saharan_africa,115,Tôkyô,4498700,eastasia
116,Berlin,687,europe,116,Petrozavodsk,900.5877178,eastern_europe_and_russia,116,El Afweyn,29556,sub_saharan_africa,116,Tianjin,4494121,eastasia
117,Birmingham; ,685,europe,117,Anamorós,899.7848203,latin_america,117,Ed Al Fursan,29514,sub_saharan_africa,117,Douala,4457862,sub_saharan_africa
118,Monterrey; G,685,latin_america,118,Hurstville,899.1324439,oceania,118,Tongjiang Co,29353,eastasia,118,Kanpur; Unna,4413625,indian_subcontinent
119,Madrid; M�st,680,europe,119,Tadjourah,898.7030186,sub_saharan_africa,119,Jhenaidah,29261,indian_subcontinent,119,Belo Horizon,4376747,latin_america
120,Yogyakarta; ,678,southeast_asia,120,Butiaba,898.0454658,sub_saharan_africa,,,,,120,Sydney,4375394,oceania
